Titre,Type_relation,Concept_of_type_relation,Clean_Paragraphe,Bart Summary,Keywords,Synonyms,Process_name,MOST RELEVANT,figures
interpersonal and team skills,subclass of,interpersonal,interpersonal and team skills that can be used for this process includes but are not limited to facilitation see section the use of facilitation improves the effectiveness of developing responses to individual project risks and overall project risk a skilled facilitator can help risk owners understand the risk identify and compare alternative possible risk response strategies choose an appropriate response strategy and identify and overcome sources of bias,"The use of facilitation improves the effectiveness of developing responses to individual project risks and overall project risk. A skilled facilitator can help risk owners understand the risk, identify and compare alternative possible risk response strategies, and identify and overcome  sources of bias.",['risk skilled facilitator' 'facilitator help risk' 'project risk skilled' 'risk response strategies' 'interpersonal team skills' ],"meetings, risk register, risk report, project documents updates, project documents, enterprise environmental factors, organizational process assets, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, project management plan, project documents, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project documents updates, project documents, data analysis, audits, meetings, change requests, risk categorization, data representation, meetings, project documents updates, project management plan, project documents, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project documents updates, project documents, data analysis, audits, meetings, representations of uncertainty, data analysis, project documents updates, project documents, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project documents updates, project documents, data analysis, meetings, change requests, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, implement risk responses, project documents, organizational process assets, interpersonal and team skills, project documents updates, project documents, data analysis, audits, meetings, change requests, project documents updates, project documents, work performance reports, data analysis, audits, meetings, change requests",implement skills,"facilitation, risk, response, strategy, identify, understand, overcome, compare, use, choose",[]
contingent response strategies,subclass of,project risk response strategies,some responses are designed for use only if certain events occur for some risks it is appropriate for the project team to make a response plan that will only be executed under certain predened conditions if it is believed that there will be sufcient warning to implement the plan events that trigger the contingency response such as missing intermediate milestones or gaining higher priority with a seller should be dened and tracked risk responses identied using this technique are often called contingency plans or fallback plans and include identied triggering events that set the plans in effect,"Some responses are designed for use only if certain events occur. For some risks, it is appropriate for the project  team to make a response plan that will only be executed under certain predeﬁned conditions.",['contingency plans fallback' 'risk responses identied' 'make response plan' 'trigger contingency response' 'warning implement plan' ],"strategies for overall project risk, data analysis, decision making, project documents updates, project documents, organizational process assets, interpersonal and team skills, project documents updates, project documents, data analysis, meetings, work performance information",include response,"event, certain, plan, response, trigger, contingency, identie, gain, believe, sufcient",[]
strategies for overall project risk,facet of,project management plan,risk responses should be planned and implemented not only for individual project risks but also to address overall project risk the same risk response strategies that are used to deal with individual project risks can also be applied to overall project risk avoid where the level of overall project risk is signicantly negative and outside the agreedupon risk thresholds for the project an avoid strategy may be adopted this involves taking focused action to reduce the negative effect of uncertainty on the project as a whole and bring the project back within the thresholds an example of avoidance at the overall project level would include removal of highrisk elements of scope from the project where it is not possible to bring the project back within the thresholds the project may be canceled this represents the most extreme degree of risk avoidance and it should be used only if the overall level of threat is and will remain unacceptable exploit where the level of overall project risk is signicantly positive and outside the agreedupon risk thresholds for the project an exploit strategy may be adopted this involves taking focused action to capture the positive effect of uncertainty on the project as a whole an example of exploiting at the overall project level would include addition of highbenet elements of scope to the project to add value or benets to stakeholders alternatively the risk thresholds for the project may be modied with the agreement of key stakeholders in order to embrace the opportunity transfershare if the level of overall project risk is high but the organization is unable to address it effectively a third party may be involved to manage the risk on behalf of the organization where overall project risk is negative a transfer strategy is required which may involve payment of a risk premium in the case of high positive overall project risk ownership may be shared in order to reap the associated benets examples of both transfer and share strategies for overall project risk include but are not limited to setting up a collaborative business structure in which the buyer and the seller share the overall project risk launching a joint venture or specialpurpose company or subcontracting key elements of the projectu mitigateenhance these strategies involve changing the level of overall project risk to optimize the chances of achieving the projects objectives the mitigation strategy is used where overall project risk is negative and enhancement applies when it is positive examples of mitigation or enhancement strategies include replanning the project changing the scope and boundaries of the project modifying project priority changing resource allocations adjusting delivery times etc accept where no proactive risk response strategy is possible to address overall project risk the organization may choose to continue with the project as currently dened even if overall project risk is outside the agreed upon thresholds acceptance can be either active or passive the most common active acceptance strategy is to establish an overall contingency reserve for the project including amounts of time money or resources to be used if the project exceeds its thresholds passive acceptance involves no proactive action apart from periodic review of the level of overall project risk to ensure that it does not change signicantly,"Risk responses should be planned and implemented not only for individual project risks but also to address overall project risk. The same risk response strategies that are used to deal with individual project risk can also be applied to overall project risk: avoid, exploit and share.",['project risk avoid' 'project risk optimize' 'project avoid strategy' 'project exploit strategy' 'risk response strategies' ],"data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project documents updates, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates",remaining risk,"project, overall, risk, strategy, threshold, involve, level, positive, negative, exploit",[]
change requests,used by,change control,baselines or other components of the project management plan change requests are processed for review and disposition through the perform integrated change control process section,baselines or other components of the project management plan. Change requests are processed for review and disposition through the Perform Integrated Change Control process.,['plan change requests' 'management plan change' 'change requests processed' 'project management plan' 'perform integrated change' ],"project management plan updates, implement risk responses, project management plan, change requests, monitor risks, change requests, project management plan updates, monitor risks, project documents, data analysis, change requests",change process,"change, disposition, integrate, request, component, control, baseline, process, review, perform",[]
project management plan updates,has part,project risk,any change to the project management plan goes through the organizations change control process via a change request components that may require a change request for the project management plan include but are not limited to schedule management plan described in section changes to the schedule management plan such as changes to resource loading and leveling or updates to the schedule strategy are incorporated cost management plan described in section changes to the cost management plan such as changes to cost accounting tracking and reports as well as updates to the budget strategy and how contingency reserves are consumed are incorporated quality management plan described in section changes to the quality management plan such as changes to approaches for meeting requirements quality management approaches or quality control processes are incorporated resource management plan described in section changes to the resource management plan such as changes to resource allocation as well as updates to the resource strategy are incorporated procurement management plan described in section changes to the procurement management plan such as alterations in the makeorbuy decision or contract types are incorporated scope baseline described in section changes in the scope baseline are incorporated in response to approved changes in scope that may arise from agreedupon risk responses schedule baseline described in section changes in the schedule baseline are incorporated in response to approved changes in schedule estimates that may arise from agreedupon risk responses cost baseline described in section changes in the cost baseline are incorporated in response to,"Any change to the project management plan goes through the organization’s change control process via a change  request. Components that may require a change request include but are not limited to:Schedule management plan, cost management, quality management, resource management, and procurement.",['plan changes resource' 'management plan changes' 'management plan alterations' 'project management plan' 'resource management plan' ],"project documents updates, implement risk responses, project management plan, project documents, project management information system (pmis), change requests, project documents updates, monitor risks, project documents, data analysis, audits, meetings, change requests, project management plan updates",affect plan,"change, incorporate, management, plan, baseline, section, schedule, quality, resource, cost",[]
project ocuments updates,part of,project life cycle,project documents that may be updated as a result of carrying out this process include but are not limited to assumption log described in section during the plan risk responses process new assumptions may be made new constraints may be identied and existing assumptions or constraints may be revisited and changed the assumption log should be updated with this new information cost forecasts described in section cost forecasts may change as a result of planned risk responses lessons learned register described in section the lessons learned register is updated with information about risk responses that may be useful for future phases of the project or future projects project schedule described in section activities relating to agreedupon risk responses may be added to the project schedule project team assignments described in section once the responses are conrmed the necessary resources should be allocated to each action associated with a risk response plan these resources include suitably qualied and experienced personnel to execute the agreedupon action usually within the project team a specic budget and time allowance for the action and any required technical resources to complete the action risk register described in section the risk register is updated when appropriate risk responses are chosen and agreed upon updates to the risk register may include but are not limited to agreedupon response strategies specic actions to implement the chosen response strategy trigger conditions symptoms and warning signs of a risk occurrence budget and schedule activities required to implement the chosen responses contingency plans and risk triggers that call for their execution fallback plans for use when a risk that has occurred and the primary response proves to be inadequate residual risks that are expected to remain after planned responses have been taken as well as those that have been deliberately accepted and secondary risks that arise as a direct outcome of implementing a risk response risk report described in section the risk report may be updated to present agreedupon responses to the current overall project risk exposure and highpriority risks together with the expected changes that may,Project documents that may be updated as a result of carrying out this process include but are not limited to:. The assumption log should be updated with this new information. Activities relating to agreed-upon risk responses may be added to the project schedule. Cost forecasts may change.,['plan risk responses' 'project schedule described' 'risk report updated' 'project risk exposure' 'plan resources include' ],"project documents, organizational process assets, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, project documents, data gathering, interpersonal and team skills, representations of uncertainty, project management plan, project documents, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, decision making, project documents updates, project documents, interpersonal and team skills, project documents updates, project documents, data analysis, meetings, perform quantitative risk analysis, project management plan, project documents, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, change requests, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), project documents updates, project management plan, project documents, work performance reports, data analysis, audits, meetings, change requests, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, change requests, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), change requests, project documents updates, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, implement risk responses, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), project documents updates, monitor risks, project management plan, project documents, work performance reports, data analysis, audits, meetings, work performance information, change requests, project documents, data analysis, audits, meetings, work performance information, change requests",project risk,"response, risk, update, section, action, register, agreedupon, assumption, plan, choose",[]
implement risk responses,subclass of,software,implement risk responses is the process of implementing agreedupon risk response plans the key benet of this process is that it ensures that agreedupon risk responses are executed as planned in order to address overall project risk exposure minimize individual project threats and maximize individual project opportunities this process is performed throughout the project the inputs tools and techniques and outputs of the process are depicted in figure figure depicts the data ow diagram for the process figure implement risk responses data flow diagram tools techniques inputs outputs expert judgment interpersonal and team skills influencing project management information system project management plan risk management plan project documents lessons learned register risk register risk report organizational process assets change requests project documents updates issue log lessons learned register project team assignments risk register risk report implement risk responses project charter implement risk responses enterprise organization perform integrated change control project documents updates lessons learned register issue log project team assignments risk register risk report change requests project management plan risk management plan project documents lessons learned register risk register risk report organizational process assets project management plan project documents project documentsproper attention to the implement risk responses process will ensure that agreedupon risk responses are actually executed a common problem with project risk management is that project teams spend effort in identifying and analyzing risks and developing risk responses then risk responses are agreed upon and documented in the risk register and risk report but no action is taken to manage the risk only if risk owners give the required level of effort to implementing the agreedupon responses will the overall risk exposure of the project and individual threats and opportunities be managed proactively,"Implement Risk Responses is the process of implementing agreed-upon risk response plans. The inputs, tools and techniques, and outputs of the process are depicted in Figure 11-18. Figure 11-19 depicts the data flow diagram for the process.",['project risk management' 'implement risk responses' 'risk response plans' 'risk responses enterprise' 'risk report organizational' ],"project management plan, project documents, change requests, monitor risks, project documents, audits, change requests, project management plan updates",remaining risk,"risk, project, response, register, implement, document, management, plan, report, process",['https://i.ibb.co/P6HHY1W/page-55.png']
project management plan,has part,project risk,management plan described in section the risk management plan lists the roles and responsibilities of project team members and other stakeholders for risk management this information is used when allocating owners for agreedupon risk responses the risk management plan also denes the level of detail for the risk management methodology for the project it also species risk thresholds for the project based on the risk appetite of key stakeholders which dene the acceptable target that the implementation of risk responses is required to achieve,"management plan. Described in Section 11.3.1, the risk management plan lists the roles and responsibilities of  project team members and other stakeholders for risk management.",['risk management plan' 'stakeholders risk management' 'risk management methodology' 'risk management information' 'project based risk' ],"meetings, risk management plan, identify risks, project management plan, project documents, prompt lists, meetings, risk register, perform qualitative risk analysis, project management plan, project documents, data analysis, meetings, project documents updates, perform quantitative risk analysis, project documents, data analysis, plan risk responses, project management plan, project documents, strategies for threats, strategies for overall project risk, data analysis, decision making, project documents updates, implement risk responses, project management plan, project documents, project documents updates, audits, project documents, procurement documentation, data gathering, data analysis, interpersonal and team skills, meetings, risk register, project documents updates, project management plan, project documents, enterprise environmental factors, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, project management plan, project documents, data gathering, data analysis, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, interpersonal and team skills, project documents updates, project management plan, project documents, data analysis, audits, meetings, change requests, project documents, data analysis, risk categorization, data representation, meetings, project documents updates, perform quantitative risk analysis, project management plan, project documents, enterprise environmental factors, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, interpersonal and team skills, strategies for threats, strategies for overall project risk, data analysis, decision making, change requests, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, change requests, project documents updates, monitor risks, project documents, data analysis, audits, meetings, change requests, project management plan updates, project documents, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, project management plan, project documents, enterprise environmental factors, organizational process assets, strategies for threats, strategies for opportunities, strategies for overall project risk, data analysis, decision making, change requests, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, project management information system (pmis), change requests, project documents updates, project documents, data analysis, audits, meetings, change requests, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, data analysis, decision making, change requests, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, interpersonal and team skills, project management information system (pmis), change requests, project documents updates, monitor risks, project management plan, project documents, data analysis, audits, meetings, change requests, project documents, organizational process assets, project management information system (pmis), change requests, project documents updates, monitor risks, project documents, data analysis, audits, meetings, change requests, project management plan updates",affect plan,"management, risk, dene, plan, stakeholder, acceptable, methodology, appetite, response, project",[]
project ocuments,part of,project life cycle,project documents that can be considered as inputs for this process include but are not limited to lessons learned register described in section lessons learned earlier in the project with regard to implementing risk responses can be applied to later phases in the project to improve the effectiveness of this process risk register described in section the risk register records the agreedupon risk responses for each individual risk and the nominated owners for each response plan risk report described in section the risk report includes an assessment of the current overall project risk exposure as well as the agreedupon risk response strategy it also describes the major individual project risks with their planned responses,Project documents that can be considered as inputs for this process include but are not limited to:Lessons learned register. The risk register records the agreed-upon risk responses.,['implementing risk responses' 'risk report described' 'project risks planned' 'risk register described' 'risk report includes' ],"expert judgment, data analysis, meetings, risk management plan, project documents, procurement documentation, expert judgment, data gathering, data analysis, interpersonal and team skills, risk register, risk report, project documents updates, project documents, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, project documents, expert judgment, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, project documents, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, decision making, project management plan updates, project documents updates, project management plan, project documents, project documents updates, project documents, data analysis, meetings, work performance information, procurement documentation, expert judgment, data gathering, data analysis, interpersonal and team skills, prompt lists, meetings, risk register, risk report, project documents updates, perform qualitative risk analysis, project management plan, project documents, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, perform quantitative risk analysis, project management plan, project documents, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), project documents updates, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, enterprise environmental factors, organizational process assets, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, perform quantitative risk analysis, project management plan, project documents, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project documents updates, project management plan, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, change requests, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), change requests, project documents updates, monitor risks, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), change requests, project documents updates, monitor risks, project management plan, project documents, work performance reports, data analysis, audits, meetings, work performance information, change requests, project management plan updates, organizational process assets, interpersonal and team skills, project management information system (pmis), project documents updates, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, data analysis, audits, meetings, work performance information, change requests, project management plan updates",project risk,"risk, response, register, project, section, agreedupon, learn, lesson, report, nominated",[]
interpersonal and team skills,subclass of,interpersonal,interpersonal and team skills that can be used for this process include but are not limited to inuencing some risk response actions may be owned by people outside the immediate project team or who have other competing demands the project manager or person responsible for facilitating the risk process may need to exercise inuencing see section to encourage nominated risk owners to take necessary action where required,Interpersonal and team skills that can be used for this process include but are not limited to inﬂuencing. Some risk response actions may be owned by people outside the immediate project team or who have other competing demands.,['facilitating risk process' 'responsible facilitating risk' 'risk response actions' 'risk owners necessary' 'interpersonal team skills' ],"meetings, risk register, risk report, project documents updates, project documents, enterprise environmental factors, organizational process assets, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, project management plan, project documents, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project documents updates, project documents, data analysis, audits, meetings, change requests, risk categorization, data representation, meetings, project documents updates, project management plan, project documents, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project documents updates, project documents, data analysis, audits, meetings, representations of uncertainty, data analysis, project documents updates, project documents, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project documents updates, project documents, data analysis, meetings, change requests, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, implement risk responses, project documents, organizational process assets, interpersonal and team skills, project documents updates, project documents, data analysis, audits, meetings, change requests, project documents updates, project documents, work performance reports, data analysis, audits, meetings, change requests",implement skills,"inuence, action, immediate, exercise, compete, facilitate, team, demand, people, encourage",[]
project management information system pmis,field of this occupation,project team,software to ensure that agreedupon risk response plans and their associated activities are integrated into the project alongside other project activities,"software to ensure that agreed-upon risk response plans and their associated activities are integrated into the project alongside other project activities. The project will be based in London, England, and is expected to be completed by the end of 2014.",['risk response plans' 'response plans associated' 'alongside project activities' 'software ensure agreed' 'ensure agreed risk' ],"project documents updates, project documents, data analysis, audits, meetings, change requests",occur information,"activity, alongside, software, integrate, associate, agreedupon, ensure, project, response, plan",[]
change requests,used by,change control,schedule baselines or other components of the project management plan change requests are processed for review,"schedule baselines or other components of the project management plan. Change requests are processed for review. Changes can be made to schedule baselines, project management plans, or other parts of the plan.",['plan change requests' 'project management plan' 'management plan change' 'schedule baselines components' 'requests processed review' ],"project management plan updates, implement risk responses, project management plan, change requests, monitor risks, change requests, project management plan updates, monitor risks, project documents, data analysis, change requests",change process,"request, component, baseline, review, schedule, change, management, plan, process, project",[]
project ocuments updates,part of,project life cycle,project documents that may be updated as a result of carrying out this process include but are not limited to issue log described in section where issues are identied as part of the implement risk responses process they are recorded in the issue log lessons learned register described in section the lessons learned register is updated with information on challenges encountered when implementing risk responses and how they could have been avoided as well as approaches that worked well for implementing risk responses project team assignments described in section once the risk responses are conrmed the necessary resources should be allocated to each action associated with a risk response plan these resources include suitably qualied and experienced personnel to execute the agreedupon action usually within the project team a specic budget and time allowance for the action and any required technical resources to complete the action risk register described in section the risk register may be updated to reect any changes to the previously agreedupon risk responses for individual project risks that are subsequently made as a result of the implement risk responses process risk report described in section the risk report may be updated to reect any changes to the previously agreedupon risk response to overall project risk exposure that are subsequently made as a result of,Project documents that may be updated as a result of carrying out this process include but are not limited to:Issue log. Lessons learned register. Risk report.,['implementing risk responses' 'action risk register' 'risk response plan' 'risk report updated' 'project team specic' ],"project documents, organizational process assets, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, project documents, data gathering, interpersonal and team skills, representations of uncertainty, project management plan, project documents, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, decision making, project documents updates, project documents, interpersonal and team skills, project documents updates, project documents, data analysis, meetings, perform quantitative risk analysis, project management plan, project documents, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, change requests, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), project documents updates, project management plan, project documents, work performance reports, data analysis, audits, meetings, change requests, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, change requests, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), change requests, project documents updates, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, implement risk responses, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), project documents updates, monitor risks, project management plan, project documents, work performance reports, data analysis, audits, meetings, work performance information, change requests, project documents, data analysis, audits, meetings, work performance information, change requests",project risk,"risk, response, update, implement, action, section, subsequently, issue, register, agreedupon",[]
monitor risks,studied by,risk management,monitor risks is the process of monitoring the implementation of agreedupon risk response plans tracking identied risks identifying and analyzing new risks and evaluating risk process effectiveness throughout the project the key benet of this process is that it enables project decisions to be based on current information about overall project risk exposure and individual project risks this process is performed throughout the project the inputs tools and techniques and outputs of the process are depicted in figure figure depicts the data ow diagram for the process tools techniques inputs outputs data analysis technical performance analysis reserve analysis audits meetings project management plan risk management plan project documents issue log lessons learned register risk register risk report work performance data work performance reports work performance information change requests project management plan updates any component project documents updates assumption log issue log lessons learned register risk register risk report organizational process assets updates monitor risks project charter monitor and control project work direct and manage project work work performance data work performance reports change requests work performance information project management plan risk management plan project documents issue log lessons learned register risk register risk report project management plan project documents project documents monitor and control project work perform integrated change control monitor risks project documents updates assumption log issue log lessons learned register risk register risk report project management plan updates any component project management plan enterprise organization organizational process assets updates in order to ensure that the project team and key stakeholders are aware of the current level of risk exposure project work should be continuously monitored for new changing and outdated individual project risks and for changes in the level of overall project risk by applying the monitor risks process the monitor risks process uses performance information generated during project execution to determine if implemented risk responses are effective level of overall project risk has changed status of identied individual project risks has changed new individual project risks have arisen risk management approach is still appropriate project assumptions are still valid risk management policies and procedures are being followed contingency reserves for cost or schedule require modication and,"Monitor Risks is the process of monitoring the implementation of agreed-upon risk response plans, tracking identiﬁed risks, identifying and analyzing new risks, and evaluating risk process effectiveness throughout the project. Figure 11-21 depicts the data ﬂow diagram for the process. The inputs, tools and techniques, and outputs of the process are depicted in figure 11-20.",['project risks process' 'risks process monitor' 'risks project documents' 'risk report work' 'monitor risks project' ],"project documents, audits, change requests, project management plan updates",remaining risk,"work, project, risk, monitor, performance, management, register, change, update, log","['https://i.ibb.co/47Nfp9L/page-60.png', 'https://i.ibb.co/z80RNZj/page-59.png']"
